Furrytail | 單碗波波貓食盆,420,data/img/white/w1.jpg,商品描述                                產品介紹●食品級抗菌不鏽鋼 杜絕細菌●145mm超廣碗徑 扁臉貓也優雅進食●淺碗+全弧度設計 不易灑出飼料●碗體碗架分離設計 隨手清洗●防滑矽膠 踩不翻推不動●貼心手持柄 輕鬆拿起放下產品規格尺寸15x15x6.5cm重量300g材質玻璃環保PC、304不鏽鋼
Moboli 貓卜力 | 自動循環飲水機,1990,data/img/white/w2.jpg,商品描述                                產品介紹●全陶瓷機身 自然安全●三重過濾系統●使用麥飯石 平衡水質酸鹼度●45度斜面設計 扁臉貓咪不濕臉●312mm河道設計 多貓家庭同步使用●易拆裝 好清洗●多重靜音設計濾芯使用說明初次使用時，將新濾芯放置水中充分浸泡15分鐘。如發現黑色物質，此為活性碳粉末因運輸途中摩擦導致釋出，屬正常現象，可用清水沖洗乾淨後再出發溫馨提醒建議每三天清洗飲水機一次，以保障貓咪乾淨的飲水環境濾芯使用壽命根據水質而定，建議每四週更換一次濾芯為支持環保，本產品採用USB電源線(不含電源適配器)，可適配5V的USB充電接口產品規格尺寸312x100x122mm重量2.5kg容量1000ml材質陶瓷、玻璃、麥飯石
WULEE | 星際MIAO寵物雙肩手提包,1790,data/img/white/w3.jpg,商品描述                                寵物出行的旅遊城堡，陪伴寵物探索世界奇妙。●可手提可肩背●多處透氣設計●全景天窗視角●可拆卸型肩帶尺寸367x310x446.5mm材質高品質ABS重量1.5kg
Furrytail | 貓老闆貓窩,1190,data/img/white/w4.jpg,商品描述                                產品介紹●360度慢搖 均勻轉速 不造成暈眩●白灰配色 怎麼看都美●可拆卸內襯便於替換●無靜電 不起球●純白ABS球體 輕擦即可永久如新●30度仰角 易於出入●耐重10kg以內產品規格尺寸40.8x38.6x37cm材質ABS、環保纖維內襯重量1.8kg
Moboli 貓卜力 | 行星貓砂盆 (三色),2890,data/img/white/w5.jpg,商品描述                                行星貓廁所●打開蓋子 拉起支撐 即可進行簡單清潔●獨創清潔便捷操作●貓鏟精巧收納●全新漏砂口設計尺寸52x59x60cm重量3.3kg材質ABS、鋁合金、矽膠
MAYITWILL 米尾 | 貓城堡抓板貓砂盆,2390,data/img/white/w6.jpg,商品描述                                貓咪就是國王，請你快成為牠的騎士吧！●上下雙層設計 節省空間 一個就夠了●隨心搭配 滿足貓咪玩樂需求●廁所搭配貓抓板/軟墊 給牠最獨特的組合●超大空間 轉身隨心●抽屜砂盒 輕輕一拉 換砂清砂都方便●防砂擋板設計 怎樣使用都乾淨●超長漏砂隧道 保持家中整潔尺寸545x500x500mm重量4kg材質PP
pidan | 貓薄荷海豚玩具,250,data/img/white/w7.jpg,商品描述                                產品介紹●海豚造型玩具 新穎可愛●內置高品質貓薄荷片 自娛自樂●超軟水晶絨材質 柔軟親膚安全無毒●內填PP棉 蓬鬆有彈性不變形●優選材質 清洗方便耐咬耐玩產品規格尺寸35x10x10cm重量淨重:0.06kg毛重:0.19kg材質水晶超柔、進口PP棉、薄荷片
pidan | 溜溜窩貓抓板 - 雙球款,490,data/img/white/w8.jpg,商品描述                                產品介紹●高質量瓦楞紙 採用全自動生產工藝●紙質密實 整齊而潔淨●特別設計了環狀通道和可單獨取出使用的小球 樂趣加倍●雙面設計 提供更多的面積 可供貓咪磨爪休憩產品規格尺寸440x440x120mm重量淨重: 1.38kg毛重 : 1.93kg材質瓦愣紙抓板
LORDE | 時光印記貓碗,450,data/img/white/w9.jpg,商品描述                                產品介紹●食量刻度 精準飲食●ABS環保無毒材質●耐高溫 易沖洗●三層式封離設計產品規格尺寸190x190x91.5mm重量380g材質ABS、不鏽鋼
pidan | 透明防滑貓碗架,350,data/img/white/w10.jpg,商品描述                                產品介紹●採用優質PC材料 安全無毒●耐摔耐用 易清洗●底部防滑設計 貼心溫柔●配合碗架 轉動碗沿 高度可調●15度傾斜平台 77mm~90mm 可調高度●碗口斜切寬敞 扁臉貓可用 減少掉落●可盛裝大約 70g 貓糧 / 250ml 水產品規格尺寸14x14x16cm重量淨重:0.19kg毛重:0.38kg材質PC
Furrytail | 小蝸軟貓窩 (兩色),850,data/img/white/w11.jpg,商品描述                                產品介紹●防風保暖安心滿滿●親膚柔軟舒服透氣●大空間 可容納大貓小貓●挺拔不變形●短絨長絨雙面窩墊 四季可用●底部防滑溫馨提醒圖片中的蝸牛頭套僅為示意，沒有附贈唷!產品規格尺寸400x365x295mm重量758g材質聚酯纖維、氨綸
pidan | 貓咪玩具球,150,data/img/white/w12.jpg,商品描述                                產品介紹藍色薄荷●內置貓薄荷球 不灑不漏●吸引貓咪 百玩不厭●環保染色處理 不掉色●材質優良 安全有保障●耐咬耐磨 讓貓咪動起來白色閃光●可愛造型，精細打磨●材質優良，耐咬耐磨●內置閃光球，貓咪喜歡粉色鈴鐺●內置金屬鈴鐺 滾動起來發出悅耳聲響●調動貓咪好奇心 激發獵捕慾望●環保染色處理 不掉色●材質優良 安全有保障●耐咬耐磨 讓貓咪動起來產品規格尺寸6x6x6cm重量淨重: 0.01kg毛重 : 0.06kg材質ABS
pidan | 除毛按摩刷 - 轉向梳 (兩款),350,data/img/white/w13.jpg,商品描述                                產品介紹●一鍵清理毛髮、五種可調節方向的梳毛好幫手●TPE材質手柄，觸感柔軟溫和●電鍍不銹鋼梳齒，可整體水洗●左右手通用設計●更有兩款不同長短的梳齒可供挑選●愛寵健康，主人舒心注意事項1. 確保在寵物毛髮無嚴重打結的情況下使用，嚴重打結或掉毛的寵物請及時就醫。2. 需再毛髮乾燥時使用，若寵物有皮膚發炎或是傷口擦傷等情況，請在痊癒後使用。3. 請勿使用蠻力拉扯，避免愛寵皮毛損傷。4. 避免異物進入活動部件導致損壞或功能失靈。5. 使用後即時清理，避免寵物皮毛油脂殘留，滋生細菌。6. 使用後請妥善保管，避免兒童及寵物玩耍造成意外傷害。產品規格尺寸179x102x54cm重量150g材質ABS、不鏽鋼、TPE
PETKIT | 智能寵物循環活水機 W4,2980,data/img/white/w14.jpg,商品描述                                1.35公升大容量●xSecure生命保障系統●304不鏽鋼●超靜音系統●多重軟化淨水●智能變頻運作模式●上下分離設計
pidan | 吸盤逗貓棒,390,data/img/white/w15.jpg,商品描述                                產品介紹●軟膠吸盤確保底部可牢固吸附在玻璃、地板、冰箱及瓷磚等平滑表面●使用純天然鵝毛 碳纖維桿及研磨氧化鋁合金 兼顧彈性與剛性注意事項新版無附贈鈴鐺產品規格尺寸450x85mm重量淨重 : 0.045kg毛重 : 0.338kg材質TPU、羽毛
pidan | 小雪怪電動玩具,190,data/img/white/w16.jpg,商品描述                                產品介紹●短小精悍的貓咪互動玩具●不規則運動軌跡 魔性好玩注意事項請勿用水沖洗看尺寸可以發現牠不大內含電池，請避免高溫環境使用電池可自行更換，型號為LR44(水銀電池)產品規格尺寸44.5x16.2x21.7mm重量8.5g材質TPU、PC
pidan | 除毛按摩刷 - 山峰款、尖刺款,190,data/img/white/w17.jpg,商品描述                                產品介紹●採用矽膠材料 配合內部氣墊設計●梳齒柔軟有彈性 彎曲不易變形●造型精緻 更舒適●背殼圓潤可愛 握持舒適●採用ABS環保樹脂材料 健康無污染●使用毛刷梳毛按摩之後 輕輕一抹 即可清理產品規格尺寸10.2x7.6x5cm重量淨重: 57.7g毛重 : 153g材質ABS、矽膠
